Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age
9279,24-01-2021 00:00,01-21-2021 14:00,22-01-2021 11:08,Hyderabad,389,SHOPLIFTING,26
9280,22-01-2021 16:00,01-21-2021 15:00,22-01-2021 05:55,Jaipur,218,DRUG OFFENSE,23
9281,22-01-2021 01:00,01-21-2021 16:00,21-01-2021 23:04,Thane,422,FRAUD,54
9282,22-01-2021 19:00,01-21-2021 17:00,22-01-2021 01:01,Bangalore,270,BURGLARY,67
9283,22-01-2021 22:00,01-21-2021 18:00,21-01-2021 23:47,Ghaziabad,350,IDENTITY THEFT,46
9284,22-01-2021 10:00,01-21-2021 19:00,22-01-2021 10:31,Pune,384,PUBLIC INTOXICATION,43
9285,24-01-2021 02:00,01-21-2021 20:00,21-01-2021 22:51,Kolkata,152,ASSAULT,38
9286,24-01-2021 03:00,01-21-2021 21:00,22-01-2021 20:28,Delhi,412,IDENTITY THEFT,71
9287,23-01-2021 11:00,01-21-2021 22:00,22-01-2021 18:47,Ghaziabad,328,FIREARM OFFENSE,59
9288,23-01-2021 20:00,01-21-2021 23:00,22-01-2021 13:10,Delhi,170,FRAUD,56
9289,24-01-2021 15:00,01-22-2021 00:00,22-01-2021 04:59,Ludhiana,500,ROBBERY,74
9290,22-01-2021 19:00,01-22-2021 01:00,22-01-2021 12:33,Chennai,345,SEXUAL ASSAULT,48
9291,22-01-2021 16:00,01-22-2021 02:00,22-01-2021 04:39,Ahmedabad,420,FIREARM OFFENSE,79
9292,23-01-2021 05:00,01-22-2021 03:00,22-01-2021 14:08,Lucknow,373,ARSON,41
9293,24-01-2021 01:00,01-22-2021 04:00,22-01-2021 22:15,Lucknow,205,VANDALISM,21
9294,24-01-2021 20:00,01-22-2021 05:00,22-01-2021 20:39,Kolkata,120,BURGLARY,44
9295,25-01-2021 03:00,01-22-2021 06:00,23-01-2021 04:58,Jaipur,287,FRAUD,56
9296,24-01-2021 15:00,01-22-2021 07:00,22-01-2021 16:08,Thane,290,COUNTERFEITING,57
9297,23-01-2021 09:00,01-22-2021 08:00,23-01-2021 03:26,Delhi,207,IDENTITY THEFT,16
9298,24-01-2021 00:00,01-22-2021 09:00,23-01-2021 05:11,Chennai,411,DOMESTIC VIOLENCE,62
9299,24-01-2021 12:00,01-22-2021 10:00,22-01-2021 15:07,Indore,521,HOMICIDE,45
9300,25-01-2021 05:00,01-22-2021 11:00,22-01-2021 15:54,Patna,270,KIDNAPPING,32
9301,24-01-2021 05:00,01-22-2021 12:00,22-01-2021 12:38,Delhi,278,COUNTERFEITING,31
9302,23-01-2021 21:00,01-22-2021 13:00,23-01-2021 07:13,Kolkata,543,ASSAULT,53
9303,22-01-2021 19:00,01-22-2021 14:00,23-01-2021 12:48,Mumbai,375,FRAUD,28
9304,23-01-2021 09:00,01-22-2021 15:00,22-01-2021 18:03,Delhi,369,VANDALISM,34
9305,24-01-2021 06:00,01-22-2021 16:00,23-01-2021 09:25,Visakhapatnam,527,ASSAULT,32
9306,23-01-2021 17:00,01-22-2021 17:00,22-01-2021 17:36,Mumbai,506,PUBLIC INTOXICATION,44
9307,25-01-2021 08:00,01-22-2021 18:00,23-01-2021 05:06,Delhi,141,ASSAULT,68
9308,25-01-2021 15:00,01-22-2021 19:00,23-01-2021 13:03,Rajkot,477,KIDNAPPING,45
9309,25-01-2021 18:00,01-22-2021 20:00,23-01-2021 09:15,Bangalore,106,HOMICIDE,52
9310,25-01-2021 19:00,01-22-2021 21:00,23-01-2021 12:13,Patna,438,EXTORTION,17
9311,23-01-2021 08:00,01-22-2021 22:00,23-01-2021 08:31,Indore,372,SHOPLIFTING,32
9312,23-01-2021 07:00,01-22-2021 23:00,23-01-2021 08:08,Bhopal,373,FRAUD,25
9313,25-01-2021 04:00,01-23-2021 00:00,23-01-2021 16:47,Kolkata,139,PUBLIC INTOXICATION,26
9314,23-01-2021 14:00,01-23-2021 01:00,23-01-2021 22:11,Bhopal,156,DOMESTIC VIOLENCE,48
9315,24-01-2021 14:00,01-23-2021 02:00,23-01-2021 23:25,Nashik,167,FIREARM OFFENSE,36
9316,24-01-2021 21:00,01-23-2021 03:00,23-01-2021 15:05,Chennai,566,IDENTITY THEFT,14
9317,24-01-2021 21:00,01-23-2021 04:00,23-01-2021 16:07,Hyderabad,326,IDENTITY THEFT,35
9318,23-01-2021 18:00,01-23-2021 05:00,23-01-2021 07:46,Bangalore,232,IDENTITY THEFT,33
9319,23-01-2021 14:00,01-23-2021 06:00,23-01-2021 08:40,Hyderabad,168,SHOPLIFTING,18
9320,26-01-2021 01:00,01-23-2021 07:00,23-01-2021 10:46,Hyderabad,319,VANDALISM,58
9321,25-01-2021 11:00,01-23-2021 08:00,24-01-2021 05:36,Chennai,294,VANDALISM,42
9322,23-01-2021 22:00,01-23-2021 09:00,24-01-2021 07:15,Ahmedabad,236,DRUG OFFENSE,70
9323,25-01-2021 04:00,01-23-2021 10:00,24-01-2021 04:52,Bangalore,288,TRAFFIC VIOLATION,53
9324,26-01-2021 10:00,01-23-2021 11:00,24-01-2021 06:00,Pune,249,CYBERCRIME,46
9325,25-01-2021 03:00,01-23-2021 12:00,23-01-2021 19:45,Bangalore,161,SHOPLIFTING,63
9326,25-01-2021 21:00,01-23-2021 13:00,23-01-2021 17:22,Bhopal,255,HOMICIDE,20
9327,26-01-2021 09:00,01-23-2021 14:00,24-01-2021 07:16,Visakhapatnam,394,DOMESTIC VIOLENCE,69
9328,24-01-2021 19:00,01-23-2021 15:00,24-01-2021 05:16,Chennai,223,ARSON,78
9329,24-01-2021 00:00,01-23-2021 16:00,24-01-2021 05:39,Hyderabad,582,FRAUD,28
9330,24-01-2021 11:00,01-23-2021 17:00,23-01-2021 21:01,Delhi,582,VEHICLE - STOLEN,61
9331,23-01-2021 20:00,01-23-2021 18:00,23-01-2021 18:27,Kanpur,428,CYBERCRIME,74
9332,25-01-2021 09:00,01-23-2021 19:00,24-01-2021 02:45,Jaipur,144,VEHICLE - STOLEN,68
9333,25-01-2021 23:00,01-23-2021 20:00,23-01-2021 23:54,Bangalore,324,ASSAULT,18
9334,25-01-2021 16:00,01-23-2021 21:00,24-01-2021 06:23,Srinagar,138,SEXUAL ASSAULT,69
9335,25-01-2021 15:00,01-23-2021 22:00,24-01-2021 10:48,Bangalore,415,COUNTERFEITING,21
9336,26-01-2021 17:00,01-23-2021 23:00,24-01-2021 18:27,Mumbai,375,ILLEGAL POSSESSION,13
9337,24-01-2021 20:00,01-24-2021 00:00,24-01-2021 03:57,Lucknow,584,HOMICIDE,38
9338,24-01-2021 22:00,01-24-2021 01:00,24-01-2021 17:13,Delhi,136,ARSON,63
9339,25-01-2021 21:00,01-24-2021 02:00,24-01-2021 23:21,Delhi,164,DRUG OFFENSE,43
9340,25-01-2021 10:00,01-24-2021 03:00,25-01-2021 00:34,Hyderabad,160,ROBBERY,16
9341,25-01-2021 04:00,01-24-2021 04:00,24-01-2021 07:49,Surat,335,PUBLIC INTOXICATION,18
9342,25-01-2021 03:00,01-24-2021 05:00,24-01-2021 17:48,Surat,156,SHOPLIFTING,40
9343,26-01-2021 09:00,01-24-2021 06:00,24-01-2021 19:40,Hyderabad,486,COUNTERFEITING,36
9344,24-01-2021 14:00,01-24-2021 07:00,24-01-2021 10:06,Ghaziabad,220,PUBLIC INTOXICATION,30
9345,24-01-2021 18:00,01-24-2021 08:00,24-01-2021 21:10,Delhi,251,HOMICIDE,20
9346,27-01-2021 08:00,01-24-2021 09:00,25-01-2021 05:34,Hyderabad,261,BURGLARY,40
9347,27-01-2021 07:00,01-24-2021 10:00,24-01-2021 18:44,Delhi,217,IDENTITY THEFT,45
9348,25-01-2021 22:00,01-24-2021 11:00,25-01-2021 05:24,Bangalore,503,FRAUD,54
9349,27-01-2021 10:00,01-24-2021 12:00,24-01-2021 12:22,Hyderabad,206,HOMICIDE,59
9350,26-01-2021 04:00,01-24-2021 13:00,25-01-2021 00:14,Delhi,354,COUNTERFEITING,76
9351,26-01-2021 03:00,01-24-2021 14:00,25-01-2021 10:20,Visakhapatnam,456,FRAUD,42
9352,25-01-2021 04:00,01-24-2021 15:00,25-01-2021 12:38,Rajkot,383,BURGLARY,38
9353,25-01-2021 11:00,01-24-2021 16:00,24-01-2021 21:17,Delhi,535,ILLEGAL POSSESSION,23
9354,26-01-2021 10:00,01-24-2021 17:00,25-01-2021 11:56,Mumbai,356,PUBLIC INTOXICATION,38
9355,26-01-2021 01:00,01-24-2021 18:00,25-01-2021 14:06,Lucknow,167,SEXUAL ASSAULT,72
9356,24-01-2021 20:00,01-24-2021 19:00,24-01-2021 23:55,Lucknow,112,VANDALISM,35
9357,26-01-2021 12:00,01-24-2021 20:00,25-01-2021 14:15,Bangalore,357,DRUG OFFENSE,59
9358,26-01-2021 16:00,01-24-2021 21:00,25-01-2021 11:16,Indore,506,FIREARM OFFENSE,15
9359,25-01-2021 20:00,01-24-2021 22:00,25-01-2021 12:26,Srinagar,346,CYBERCRIME,76
9360,26-01-2021 17:00,01-24-2021 23:00,25-01-2021 13:26,Bangalore,325,EXTORTION,72
9361,27-01-2021 21:00,01-25-2021 00:00,25-01-2021 18:50,Mumbai,203,VEHICLE - STOLEN,63
9362,25-01-2021 20:00,01-25-2021 01:00,25-01-2021 09:41,Bangalore,164,PUBLIC INTOXICATION,45
9363,26-01-2021 12:00,01-25-2021 02:00,25-01-2021 05:26,Mumbai,554,KIDNAPPING,58
9364,27-01-2021 04:00,01-25-2021 03:00,25-01-2021 12:36,Delhi,166,FIREARM OFFENSE,29
9365,25-01-2021 22:00,01-25-2021 04:00,25-01-2021 22:15,Kanpur,591,VEHICLE - STOLEN,29
9366,26-01-2021 00:00,01-25-2021 05:00,25-01-2021 12:38,Ahmedabad,301,HOMICIDE,22
9367,25-01-2021 19:00,01-25-2021 06:00,25-01-2021 12:00,Delhi,300,FIREARM OFFENSE,15
9368,26-01-2021 18:00,01-25-2021 07:00,26-01-2021 06:34,Lucknow,495,DRUG OFFENSE,27
9369,26-01-2021 22:00,01-25-2021 08:00,25-01-2021 16:08,Delhi,415,FIREARM OFFENSE,29
9370,27-01-2021 03:00,01-25-2021 09:00,26-01-2021 06:25,Delhi,347,ROBBERY,65
9371,26-01-2021 09:00,01-25-2021 10:00,25-01-2021 18:09,Ludhiana,219,SHOPLIFTING,61
9372,27-01-2021 08:00,01-25-2021 11:00,26-01-2021 07:51,Delhi,429,HOMICIDE,33
9373,26-01-2021 14:00,01-25-2021 12:00,26-01-2021 05:10,Delhi,446,VEHICLE - STOLEN,20
9374,26-01-2021 05:00,01-25-2021 13:00,26-01-2021 11:28,Mumbai,105,SHOPLIFTING,73
9375,25-01-2021 18:00,01-25-2021 14:00,25-01-2021 23:00,Lucknow,257,VEHICLE - STOLEN,79
9376,26-01-2021 11:00,01-25-2021 15:00,25-01-2021 16:55,Ludhiana,234,DOMESTIC VIOLENCE,74
9377,26-01-2021 18:00,01-25-2021 16:00,26-01-2021 06:14,Delhi,171,FRAUD,67
9378,27-01-2021 01:00,01-25-2021 17:00,25-01-2021 19:42,Delhi,280,KIDNAPPING,55
9379,28-01-2021 06:00,01-25-2021 18:00,26-01-2021 03:24,Bangalore,534,TRAFFIC VIOLATION,75
9380,28-01-2021 05:00,01-25-2021 19:00,26-01-2021 01:14,Agra,479,EXTORTION,52
9381,27-01-2021 06:00,01-25-2021 20:00,26-01-2021 03:40,Kanpur,287,ROBBERY,16
9382,28-01-2021 01:00,01-25-2021 21:00,26-01-2021 11:06,Kanpur,160,ASSAULT,44
9383,28-01-2021 03:00,01-25-2021 22:00,26-01-2021 19:08,Ahmedabad,333,ILLEGAL POSSESSION,30
9384,27-01-2021 00:00,01-25-2021 23:00,26-01-2021 17:01,Thane,391,SHOPLIFTING,45
9385,26-01-2021 06:00,01-26-2021 00:00,26-01-2021 01:09,Chennai,484,ASSAULT,10
9386,28-01-2021 00:00,01-26-2021 01:00,26-01-2021 23:31,Delhi,108,EXTORTION,45
9387,26-01-2021 17:00,01-26-2021 02:00,26-01-2021 22:58,Thane,560,ASSAULT,36
9388,27-01-2021 17:00,01-26-2021 03:00,26-01-2021 19:16,Ahmedabad,187,FRAUD,57
9389,28-01-2021 04:00,01-26-2021 04:00,26-01-2021 12:46,Delhi,349,FIREARM OFFENSE,17
9390,28-01-2021 23:00,01-26-2021 05:00,27-01-2021 00:50,Ahmedabad,506,SEXUAL ASSAULT,12
9391,28-01-2021 12:00,01-26-2021 06:00,27-01-2021 02:57,Delhi,156,VEHICLE - STOLEN,20
9392,27-01-2021 21:00,01-26-2021 07:00,26-01-2021 08:19,Lucknow,599,VEHICLE - STOLEN,26
9393,26-01-2021 18:00,01-26-2021 08:00,27-01-2021 04:50,Srinagar,270,COUNTERFEITING,33
9394,28-01-2021 22:00,01-26-2021 09:00,27-01-2021 06:42,Hyderabad,298,PUBLIC INTOXICATION,74
9395,27-01-2021 19:00,01-26-2021 10:00,26-01-2021 15:17,Kolkata,104,VANDALISM,31
9396,28-01-2021 12:00,01-26-2021 11:00,27-01-2021 09:14,Delhi,284,TRAFFIC VIOLATION,15
9397,28-01-2021 16:00,01-26-2021 12:00,26-01-2021 23:40,Chennai,192,HOMICIDE,54
9398,27-01-2021 17:00,01-26-2021 13:00,26-01-2021 16:33,Lucknow,461,PUBLIC INTOXICATION,62
9399,28-01-2021 02:00,01-26-2021 14:00,27-01-2021 06:32,Surat,396,FRAUD,43
9400,29-01-2021 03:00,01-26-2021 15:00,27-01-2021 13:35,Ahmedabad,578,PUBLIC INTOXICATION,27
9401,27-01-2021 16:00,01-26-2021 16:00,26-01-2021 16:54,Bhopal,131,DOMESTIC VIOLENCE,44
9402,27-01-2021 09:00,01-26-2021 17:00,27-01-2021 15:48,Kalyan,241,SEXUAL ASSAULT,70
9403,26-01-2021 21:00,01-26-2021 18:00,27-01-2021 09:11,Chennai,427,EXTORTION,11
9404,27-01-2021 12:00,01-26-2021 19:00,27-01-2021 09:26,Delhi,429,ASSAULT,78
9405,29-01-2021 15:00,01-26-2021 20:00,27-01-2021 00:32,Chennai,393,FRAUD,40
9406,28-01-2021 14:00,01-26-2021 21:00,27-01-2021 07:28,Hyderabad,545,ASSAULT,31
9407,28-01-2021 15:00,01-26-2021 22:00,27-01-2021 15:01,Visakhapatnam,515,IDENTITY THEFT,58
9408,28-01-2021 06:00,01-26-2021 23:00,26-01-2021 23:24,Delhi,341,DRUG OFFENSE,73
9409,29-01-2021 04:00,01-27-2021 00:00,27-01-2021 05:35,Ahmedabad,308,VANDALISM,55
9410,27-01-2021 11:00,01-27-2021 01:00,27-01-2021 21:44,Delhi,507,CYBERCRIME,22
9411,29-01-2021 06:00,01-27-2021 02:00,27-01-2021 07:41,Kolkata,157,BURGLARY,53
9412,28-01-2021 11:00,01-27-2021 03:00,27-01-2021 08:05,Pune,284,ROBBERY,30
9413,29-01-2021 02:00,01-27-2021 04:00,27-01-2021 19:29,Surat,185,TRAFFIC VIOLATION,36
9414,27-01-2021 22:00,01-27-2021 05:00,27-01-2021 06:52,Mumbai,507,VANDALISM,25
9415,30-01-2021 03:00,01-27-2021 06:00,27-01-2021 16:12,Kalyan,534,IDENTITY THEFT,55
9416,30-01-2021 06:00,01-27-2021 07:00,28-01-2021 04:48,Delhi,355,SEXUAL ASSAULT,10
9417,30-01-2021 04:00,01-27-2021 08:00,27-01-2021 22:52,Ahmedabad,550,COUNTERFEITING,78
9418,28-01-2021 03:00,01-27-2021 09:00,27-01-2021 17:05,Pune,473,ARSON,22
9419,28-01-2021 09:00,01-27-2021 10:00,27-01-2021 22:10,Bangalore,347,PUBLIC INTOXICATION,18
9420,27-01-2021 17:00,01-27-2021 11:00,28-01-2021 00:08,Faridabad,545,ARSON,52
9421,28-01-2021 13:00,01-27-2021 12:00,27-01-2021 19:40,Mumbai,531,COUNTERFEITING,22
9422,29-01-2021 10:00,01-27-2021 13:00,28-01-2021 02:25,Mumbai,398,CYBERCRIME,29
9423,29-01-2021 13:00,01-27-2021 14:00,27-01-2021 21:01,Lucknow,526,FIREARM OFFENSE,26
9424,28-01-2021 07:00,01-27-2021 15:00,28-01-2021 00:39,Jaipur,185,FRAUD,21
9425,29-01-2021 06:00,01-27-2021 16:00,28-01-2021 15:25,Delhi,486,ILLEGAL POSSESSION,45
9426,28-01-2021 22:00,01-27-2021 17:00,27-01-2021 19:38,Nashik,243,EXTORTION,21
9427,29-01-2021 06:00,01-27-2021 18:00,28-01-2021 04:22,Delhi,236,DOMESTIC VIOLENCE,56
9428,30-01-2021 08:00,01-27-2021 19:00,28-01-2021 18:18,Delhi,147,TRAFFIC VIOLATION,29
9429,29-01-2021 18:00,01-27-2021 20:00,28-01-2021 01:40,Bangalore,485,DRUG OFFENSE,26
9430,28-01-2021 02:00,01-27-2021 21:00,28-01-2021 01:14,Lucknow,104,ASSAULT,68
9431,30-01-2021 11:00,01-27-2021 22:00,28-01-2021 12:12,Pune,598,ILLEGAL POSSESSION,36
9432,28-01-2021 19:00,01-27-2021 23:00,28-01-2021 08:47,Pune,404,ARSON,35
9433,30-01-2021 13:00,01-28-2021 00:00,28-01-2021 02:42,Hyderabad,445,VEHICLE - STOLEN,30
9434,28-01-2021 08:00,01-28-2021 01:00,28-01-2021 12:27,Pune,234,BURGLARY,74
9435,30-01-2021 23:00,01-28-2021 02:00,28-01-2021 23:48,Visakhapatnam,198,DOMESTIC VIOLENCE,39
9436,30-01-2021 20:00,01-28-2021 03:00,28-01-2021 20:33,Ahmedabad,149,SEXUAL ASSAULT,34
9437,29-01-2021 07:00,01-28-2021 04:00,28-01-2021 12:50,Bangalore,393,FRAUD,75
9438,28-01-2021 22:00,01-28-2021 05:00,28-01-2021 12:38,Kanpur,424,DRUG OFFENSE,45
9439,28-01-2021 22:00,01-28-2021 06:00,28-01-2021 21:48,Mumbai,143,IDENTITY THEFT,73
9440,28-01-2021 13:00,01-28-2021 07:00,29-01-2021 03:15,Lucknow,493,PUBLIC INTOXICATION,65
9441,30-01-2021 14:00,01-28-2021 08:00,28-01-2021 12:25,Kanpur,297,HOMICIDE,11
9442,30-01-2021 14:00,01-28-2021 09:00,28-01-2021 19:17,Patna,342,IDENTITY THEFT,22
9443,29-01-2021 07:00,01-28-2021 10:00,28-01-2021 13:19,Mumbai,476,DRUG OFFENSE,38
9444,30-01-2021 19:00,01-28-2021 11:00,29-01-2021 01:24,Lucknow,588,ILLEGAL POSSESSION,67
9445,30-01-2021 08:00,01-28-2021 12:00,28-01-2021 22:00,Lucknow,348,BURGLARY,19
9446,30-01-2021 03:00,01-28-2021 13:00,28-01-2021 19:03,Kolkata,550,VANDALISM,45
9447,29-01-2021 17:00,01-28-2021 14:00,29-01-2021 05:33,Delhi,337,BURGLARY,67
9448,29-01-2021 04:00,01-28-2021 15:00,28-01-2021 23:03,Lucknow,489,BURGLARY,48
9449,29-01-2021 19:00,01-28-2021 16:00,29-01-2021 14:28,Pune,320,COUNTERFEITING,68
9450,29-01-2021 02:00,01-28-2021 17:00,28-01-2021 17:48,Chennai,393,HOMICIDE,73
9451,29-01-2021 11:00,01-28-2021 18:00,28-01-2021 21:33,Delhi,282,TRAFFIC VIOLATION,46
9452,31-01-2021 00:00,01-28-2021 19:00,28-01-2021 19:04,Ahmedabad,217,VEHICLE - STOLEN,50
9453,30-01-2021 05:00,01-28-2021 20:00,28-01-2021 22:27,Lucknow,191,ASSAULT,71
9454,31-01-2021 11:00,01-28-2021 21:00,29-01-2021 16:01,Kanpur,184,VANDALISM,25
9455,31-01-2021 04:00,01-28-2021 22:00,29-01-2021 07:25,Hyderabad,457,TRAFFIC VIOLATION,47
9456,30-01-2021 21:00,01-28-2021 23:00,29-01-2021 16:04,Chennai,492,SEXUAL ASSAULT,37
9457,29-01-2021 17:00,01-29-2021 00:00,29-01-2021 21:15,Agra,176,COUNTERFEITING,32
9458,30-01-2021 20:00,01-29-2021 01:00,29-01-2021 18:02,Chennai,487,VANDALISM,33
9459,29-01-2021 12:00,01-29-2021 02:00,29-01-2021 05:50,Indore,320,SEXUAL ASSAULT,45
9460,29-01-2021 15:00,01-29-2021 03:00,29-01-2021 15:00,Bangalore,121,VEHICLE - STOLEN,77
9461,30-01-2021 16:00,01-29-2021 04:00,29-01-2021 08:59,Ahmedabad,104,DOMESTIC VIOLENCE,40
9462,31-01-2021 17:00,01-29-2021 05:00,29-01-2021 16:30,Ghaziabad,117,ARSON,25
9463,29-01-2021 18:00,01-29-2021 06:00,29-01-2021 20:49,Ahmedabad,411,FRAUD,70
9464,29-01-2021 15:00,01-29-2021 07:00,29-01-2021 14:23,Delhi,353,SEXUAL ASSAULT,23
9465,30-01-2021 23:00,01-29-2021 08:00,29-01-2021 15:13,Delhi,229,EXTORTION,16
9466,30-01-2021 11:00,01-29-2021 09:00,30-01-2021 03:58,Chennai,554,ILLEGAL POSSESSION,16
9467,01-02-2021 03:00,01-29-2021 10:00,30-01-2021 03:14,Mumbai,552,TRAFFIC VIOLATION,71
9468,30-01-2021 15:00,01-29-2021 11:00,30-01-2021 03:48,Ghaziabad,394,DRUG OFFENSE,77
9469,30-01-2021 10:00,01-29-2021 12:00,30-01-2021 05:37,Ahmedabad,190,ARSON,21
9470,01-02-2021 05:00,01-29-2021 13:00,29-01-2021 15:14,Nagpur,173,ASSAULT,27
9471,30-01-2021 08:00,01-29-2021 14:00,30-01-2021 02:48,Lucknow,271,ARSON,32
9472,29-01-2021 21:00,01-29-2021 15:00,29-01-2021 19:07,Delhi,494,VEHICLE - STOLEN,38
9473,01-02-2021 08:00,01-29-2021 16:00,30-01-2021 05:02,Delhi,303,ASSAULT,24
9474,31-01-2021 08:00,01-29-2021 17:00,30-01-2021 00:42,Pune,116,SEXUAL ASSAULT,68
9475,31-01-2021 06:00,01-29-2021 18:00,30-01-2021 13:51,Bangalore,112,PUBLIC INTOXICATION,49
9476,01-02-2021 14:00,01-29-2021 19:00,30-01-2021 08:02,Ludhiana,210,SHOPLIFTING,36
9477,29-01-2021 23:00,01-29-2021 20:00,30-01-2021 09:43,Meerut,529,FIREARM OFFENSE,13
9478,31-01-2021 06:00,01-29-2021 21:00,30-01-2021 06:09,Surat,297,ROBBERY,23
9479,31-01-2021 05:00,01-29-2021 22:00,30-01-2021 18:17,Surat,475,IDENTITY THEFT,46
9480,01-02-2021 21:00,01-29-2021 23:00,30-01-2021 16:46,Bangalore,598,FRAUD,43
9481,31-01-2021 17:00,01-30-2021 00:00,30-01-2021 01:19,Kolkata,147,FRAUD,17
9482,31-01-2021 16:00,01-30-2021 01:00,30-01-2021 01:48,Delhi,130,EXTORTION,31
9483,30-01-2021 13:00,01-30-2021 02:00,30-01-2021 12:20,Chennai,589,SEXUAL ASSAULT,45
9484,30-01-2021 05:00,01-30-2021 03:00,30-01-2021 22:58,Surat,100,FRAUD,45
9485,01-02-2021 01:00,01-30-2021 04:00,30-01-2021 23:57,Mumbai,263,FRAUD,54
9486,30-01-2021 22:00,01-30-2021 05:00,31-01-2021 01:11,Ludhiana,574,SHOPLIFTING,44
9487,01-02-2021 10:00,01-30-2021 06:00,30-01-2021 14:45,Bangalore,257,IDENTITY THEFT,23
9488,01-02-2021 15:00,01-30-2021 07:00,30-01-2021 11:56,Faridabad,222,COUNTERFEITING,65
9489,01-02-2021 18:00,01-30-2021 08:00,30-01-2021 16:18,Pune,461,ILLEGAL POSSESSION,38
9490,01-02-2021 03:00,01-30-2021 09:00,31-01-2021 05:34,Mumbai,525,DRUG OFFENSE,36
9491,31-01-2021 01:00,01-30-2021 10:00,31-01-2021 07:44,Chennai,130,PUBLIC INTOXICATION,24
9492,30-01-2021 13:00,01-30-2021 11:00,30-01-2021 15:14,Bangalore,433,ROBBERY,55
9493,30-01-2021 17:00,01-30-2021 12:00,30-01-2021 14:38,Chennai,222,BURGLARY,34
9494,30-01-2021 18:00,01-30-2021 13:00,30-01-2021 23:54,Chennai,102,VEHICLE - STOLEN,29
9495,02-02-2021 03:00,01-30-2021 14:00,31-01-2021 01:39,Mumbai,405,CYBERCRIME,32
9496,31-01-2021 13:00,01-30-2021 15:00,31-01-2021 03:59,Visakhapatnam,508,KIDNAPPING,53
9497,31-01-2021 15:00,01-30-2021 16:00,31-01-2021 09:46,Kalyan,581,PUBLIC INTOXICATION,12
9498,31-01-2021 08:00,01-30-2021 17:00,31-01-2021 15:51,Bangalore,429,DRUG OFFENSE,57
9499,01-02-2021 08:00,01-30-2021 18:00,31-01-2021 06:20,Hyderabad,287,COUNTERFEITING,28
9500,02-02-2021 13:00,01-30-2021 19:00,31-01-2021 01:59,Ghaziabad,246,HOMICIDE,60
9501,01-02-2021 06:00,01-30-2021 20:00,31-01-2021 07:05,Delhi,394,HOMICIDE,32
9502,02-02-2021 14:00,01-30-2021 21:00,31-01-2021 07:35,Vasai,264,ASSAULT,51
9503,01-02-2021 19:00,01-30-2021 22:00,31-01-2021 15:14,Varanasi,198,EXTORTION,71
9504,02-02-2021 03:00,01-30-2021 23:00,30-01-2021 23:28,Mumbai,597,DRUG OFFENSE,74
9505,31-01-2021 03:00,01-31-2021 00:00,31-01-2021 07:50,Ahmedabad,451,EXTORTION,16
9506,31-01-2021 14:00,01-31-2021 01:00,31-01-2021 13:16,Pune,183,DOMESTIC VIOLENCE,45
9507,03-02-2021 00:00,01-31-2021 02:00,31-01-2021 23:29,Kolkata,388,HOMICIDE,63
9508,02-02-2021 09:00,01-31-2021 03:00,31-01-2021 19:25,Delhi,236,ARSON,64
9509,02-02-2021 02:00,01-31-2021 04:00,31-01-2021 12:29,Pune,514,FIREARM OFFENSE,22
9510,01-02-2021 20:00,01-31-2021 05:00,31-01-2021 05:53,Mumbai,465,TRAFFIC VIOLATION,70
9511,01-02-2021 09:00,01-31-2021 06:00,31-01-2021 09:24,Mumbai,290,ROBBERY,41
9512,31-01-2021 15:00,01-31-2021 07:00,01-02-2021 02:14,Bangalore,552,ARSON,77
9513,01-02-2021 20:00,01-31-2021 08:00,31-01-2021 19:14,Hyderabad,109,SEXUAL ASSAULT,20
9514,01-02-2021 07:00,01-31-2021 09:00,01-02-2021 02:53,Nagpur,599,DRUG OFFENSE,51
9515,31-01-2021 13:00,01-31-2021 10:00,31-01-2021 14:10,Ghaziabad,308,BURGLARY,71
9516,02-02-2021 17:00,01-31-2021 11:00,31-01-2021 14:44,Kolkata,552,SEXUAL ASSAULT,65
9517,01-02-2021 23:00,01-31-2021 12:00,01-02-2021 11:55,Kolkata,415,DRUG OFFENSE,33
9518,02-02-2021 22:00,01-31-2021 13:00,01-02-2021 08:19,Nagpur,130,PUBLIC INTOXICATION,77
9519,02-02-2021 05:00,01-31-2021 14:00,31-01-2021 14:48,Visakhapatnam,267,VANDALISM,34
9520,02-02-2021 00:00,01-31-2021 15:00,31-01-2021 21:17,Chennai,211,IDENTITY THEFT,68
9521,02-02-2021 19:00,01-31-2021 16:00,31-01-2021 18:17,Delhi,142,PUBLIC INTOXICATION,22
9522,02-02-2021 16:00,01-31-2021 17:00,01-02-2021 05:56,Chennai,130,HOMICIDE,60
9523,01-02-2021 22:00,01-31-2021 18:00,01-02-2021 03:46,Surat,284,EXTORTION,40
9524,01-02-2021 05:00,01-31-2021 19:00,01-02-2021 16:05,Delhi,383,SHOPLIFTING,14
9525,31-01-2021 22:00,01-31-2021 20:00,01-02-2021 13:59,Lucknow,185,ROBBERY,36
9526,01-02-2021 17:00,01-31-2021 21:00,01-02-2021 19:21,Visakhapatnam,526,TRAFFIC VIOLATION,70
9527,02-02-2021 09:00,01-31-2021 22:00,01-02-2021 16:56,Nagpur,487,DRUG OFFENSE,58
9528,02-02-2021 22:00,01-31-2021 23:00,01-02-2021 11:13,Delhi,239,HOMICIDE,55
